,name,latitud,longitud
0,Yambala,40.41664556425945,-3.7070215912078375
1,El Imperfecto,40.4137,-3.6997814
2,El Sur De Huertas,40.41371861297169,-3.6993944253541087
3,Cerveceria Erte,40.41924121529476,-3.707470367575049
4,El Rincón del Cabo,40.411716,-3.7030745
5,El Colmo,40.41159759840829,-3.6996274045843887
6,Dos Gardenias,40.413029716325006,-3.697696668986562
7,O'Reilly's,40.4161438650945,-3.702050372021179
8,Lamiak,40.4118,-3.6996272
9,Malpica,40.42169982157796,-3.7047491057463935
10,Pasablanca,40.414308,-3.708921
11,La Dolores,40.413811807653936,-3.6956569729216513
12,Entre Santos,40.421361,-3.69873
13,Bar Cock,40.419426995102576,-3.6989436433631275
14,Café Circulo de Bellas Artes,40.418759922436905,-3.6967134321412187
15,Maricastaña,40.4221704461659,-3.704228645124456
16,Mercado de la Reina,40.419531818561246,-3.6988707977016086
17,Bar Parrondo,40.41191245939166,-3.6994224228328787
18,Bar Cerveriz,40.41547506205419,-3.7090126028093358
19,La Chula,40.42120211119318,-3.7020293713327974
20,Taberna La Chilostra,40.41172834589925,-3.7041574703507676
21,NEXT LEVEL Arcade BAR,40.42120349793444,-3.7054146257911595
22,La Taberna de Espronceda,40.410658,-3.697932
23,El Gato Verde,40.41070296766803,-3.6994343822345925
24,La Piola,40.41419116034119,-3.698742203338637
25,The Cavern,40.41617833803682,-3.7096876710793185
26,Calle Cava Baja,40.41205006504069,-3.7098849314556746
27,El Pez Gordo,40.42284175946944,-3.7040511693594644
28,Bodegas Ángel Sierra,40.42287376033453,-3.6975281620001677
29,Azotea Círculo de Bellas Artes,40.41827957022062,-3.6964652547535874
30,Wharf 73,40.42376256059167,-3.701433539921944
31,Más Al Sur,40.41002072974436,-3.6970542500265093
32,Benteveo,40.4107043271976,-3.6980897424051076
33,Bodega La Ardosa,40.42379346941713,-3.7017755010828473
34,"Turkana, El Bar.",40.41380217033574,-3.711712400785899
35,Cafe De Ratas,40.408681,-3.699401
36,Wolf Cocktail Bar,40.41289248448448,-3.695668654328026
37,Tabernilla Sancho Panza,40.416031998266675,-3.709527017592415
38,Bodega Lo Máximo,40.410397111885295,-3.7016812497020473
39,Pajaritos Mojados,40.4105244385695,-3.710317211965421
40,Chinaski Lavapiés,40.408898827011285,-3.699293266071816
41,1862,40.42426061399935,-3.706602068336985
42,La Mi Venta,40.42048956897378,-3.7125987427603233
43,Serafina,40.41642972263389,-3.7022844736145575
44,Metropolitain Café Bar,40.424188135086986,-3.7036800384521484
45,Bar San Lorenzo,40.40883903772986,-3.69896987453071
46,Sidrería El Tigre,40.420206995804506,-3.6979471668178476
47,Casa Macareno,40.42587927392769,-3.7047823256126224
48,La Cabra en el Tejado,40.40934301950544,-3.709742007117081
49,La Noche Boca Arriba,40.409269311124966,-3.6987725417822124
50,La Fantástica de Lavapiés,40.40881804788794,-3.705266309476869
51,Rastro Bar,40.40727233886719,-3.706185817718506
52,Almacén de Vinos - Casa Gerardo,40.40929390425653,-3.7118810249077194
53,La Fontana de Oro,40.41639472870297,-3.701604163626319
54,La Caleta,40.410892913217545,-3.699096094201652
55,Bodegas Melibea,40.41548297317254,-3.702287359109036
56,Limbo,40.425417248365285,-3.700183383392106
57,Clavel,40.42306,-3.702998
58,Coco Bar,40.425619400658476,-3.7049740713766557
59,La Sixta,40.40930003000816,-3.711393579775465
60,cafe anglona,40.413266246254246,-3.710821857354663
61,La Huida,40.42376402764728,-3.7016555176514694
62,La Tía Cebolla,40.41517705008438,-3.7022310231829163
63,Bar La Paloma,40.41014474738695,-3.7093363938178916
64,Café de Chinitas,40.42081230655972,-3.7103384705924314
65,Casa Camacho,40.42560985618413,-3.703879814004389
66,Only YOU Hotel&Lounge,40.422227356410346,-3.6957616908073305
67,El Aperitivo,40.41071193513202,-3.6994500800112524
68,Misa De 8:00,40.407135882564056,-3.7023403044473717
69,El Pedal,40.407903,-3.697066
70,Salmon Gurú,40.41486660560401,-3.6995319613728506
71,Freeway,40.425528070722606,-3.701904890513431
72,The Passenger,40.42362018508297,-3.705081963360302
73,La Bicicleta Café,40.42378960159269,-3.7022626514465546
74,Café Pavón,40.41015211180619,-3.7063668093387503
75,Champañería María Pandora,40.41254453551862,-3.714644495430593
76,Fábrica Maravillas,40.42266317843571,-3.7016416179931735
77,"Marta, Cariño!",40.426185320464654,-3.702371466805655
78,Baton Rouge Madrid,40.41582561219427,-3.7016665688252477
79,La Central de Callao,40.41937153198512,-3.706036221579081
80,La Escalera de Jacob La Latina,40.41204355865627,-3.711812747286317
81,La Infinito,40.410713,-3.6994221
82,Crack,40.42256,-3.706375
83,Macera Tallerbar,40.42610213289051,-3.6981758494799846
84,Verbena Bar,40.42691053737331,-3.7035102172511247
85,cbada,40.41082107752679,-3.710037989744161
86,La Tarasca,40.41246604898451,-3.696384250999628
87,Taberna Alabanda,40.40646464242617,-3.701418145135369
88,El miniBAR,40.416325,-3.709156
89,Mala fe,40.42376392291762,-3.702771019532613
90,Ocean Rock Bar,40.42574893675698,-3.703573307689956
91,Lamiak,40.411778131742686,-3.710410381571245
92,Weirdo Bar,40.42610146596817,-3.704190021940399
93,La Bambola,40.40921486246548,-3.71087594510397
94,Fogg Birra and Cheese,40.41227536098442,-3.69798791617441
95,El Atril,40.40879805286325,-3.7117769057439043
96,La Playa de Lavapies,40.40827840078169,-3.6994783687656776
97,La Pianola Bar,40.409011239210265,-3.700469434261322
98,La Vía Láctea,40.42680387444541,-3.702931469216806
99,El Sur,40.411135324189495,-3.699521331741858
